pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
2.4,2360.93,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.45707,1.441206,5.0,normal
3.0,2418.06,806.13,15,12092,1.0,0.0,0.0,0.2,1.0,0.0,3,14,0,2,2,0.6,3,3,0.358983,1.292968,5.0,normal
1.8,2303.03,1280.89,9,11528,1.0,0.0,0.0,0.1111,1.0,0.0,1,8,0,2,2,0.5556,2,3,0.630288,1.663586,5.01,normal
3.58,2585.19,721.67,18,12990,0.8889,0.1111,0.0,0.125,1.0,0.0,2,15,0,2,4,0.5,4,5,0.296569,1.028903,5.02,normal
3.2,2413.01,754.62,16,12074,1.0,0.0,0.0,0.125,1.0,0.0,2,15,0,2,2,0.5625,2,3,0.335393,1.246912,5.0,normal
2.8,2387.32,853.57,14,11950,1.0,0.0,0.0,0.2143,1.0,0.0,3,13,0,2,2,0.5714,3,3,0.387004,1.337453,5.01,normal
2.0,2328.88,1167.0,10,11670,1.0,0.0,0.0,0.1,1.0,0.0,1,9,0,2,2,0.6,2,3,0.558297,1.575634,5.01,normal
2.39,2356.31,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.457107,1.444467,5.01,normal
2.39,2354.88,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.458459,1.445552,5.02,normal
2.79,2382.99,853.0,14,11942,1.0,0.0,0.0,0.1429,1.0,0.0,2,13,0,2,2,0.5714,2,3,0.387083,1.337627,5.01,normal
2.79,2381.03,853.0,14,11942,1.0,0.0,0.0,0.1429,1.0,0.0,2,13,0,2,2,0.5714,2,3,0.387695,1.339408,5.02,normal
2.39,2356.68,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.45647,1.439659,5.01,normal
3.6,4643.11,1289.78,18,23216,1.0,0.0,0.0,0.1667,1.0,0.0,3,17,0,2,2,0.5,3,3,0.295342,1.180211,5.0,normal
1.2,80.8,67.33,6,404,1.0,0.0,0.0,0.1667,1.0,0.0,1,5,0,2,2,0.8333,2,3,1.003803,2.007166,5.0,normal
3.19,2404.5,754.62,16,12074,1.0,0.0,0.0,0.125,1.0,0.0,2,15,0,2,2,0.5625,2,3,0.33511,1.245501,5.02,normal
3.4,3890.17,1144.94,17,19464,1.0,0.0,0.0,0.1765,1.0,0.0,3,16,0,2,2,0.5294,3,3,0.314457,1.214031,5.0,normal
2.4,2361.93,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,3,3,0.456484,1.442037,5.0,normal
1.4,829.24,593.71,7,4156,1.0,0.0,0.0,0.1429,1.0,0.0,1,6,0,2,2,0.7143,2,3,0.837536,1.869932,5.01,normal
2.4,2360.3,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.457006,1.436876,5.0,normal
2.4,2360.5,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.457325,1.441874,5.0,normal
