pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
22.86,1369.07,59.88,117,7006,1.0,0.0,0.0,0.7265,0.7265,0.2735,85,7,32,0,2,0.9402,8,111,0.045725,0.047592,5.12,attack
14.35,857.93,59.81,72,4306,1.0,0.0,0.0,0.6944,0.6944,0.3056,50,7,22,0,2,0.9028,8,66,0.03739,0.034489,5.02,attack
17.35,1037.9,59.82,88,5264,1.0,0.0,0.0,0.7727,0.7727,0.2273,68,8,20,0,2,0.9091,9,81,0.074889,0.081479,5.07,attack
17.49,1045.63,59.77,88,5260,1.0,0.0,0.0,0.7159,0.7159,0.2841,63,10,25,0,2,0.8864,11,79,0.044755,0.036453,5.03,attack
15.4,920.94,59.82,77,4606,1.0,0.0,0.0,0.6753,0.6753,0.3247,52,7,25,0,2,0.9091,8,71,0.074008,0.08054,5.0,attack
19.4,1153.33,59.46,97,5768,1.0,0.0,0.0,0.8351,0.8351,0.1649,81,26,16,0,2,0.732,27,72,0.067443,0.066722,5.0,attack
9.79,583.15,59.59,49,2920,1.0,0.0,0.0,0.8571,0.8571,0.1429,42,10,7,0,2,0.7959,11,40,0.063985,0.058567,5.01,attack
29.44,1755.05,59.62,148,8824,1.0,0.0,0.0,0.7973,0.7973,0.2027,118,28,30,0,2,0.8108,29,121,0.071539,0.067661,5.03,attack
32.72,1951.22,59.63,164,9780,1.0,0.0,0.0,0.7073,0.7073,0.2927,116,30,48,0,2,0.8171,31,135,0.025876,0.05144,5.01,attack
17.18,1028.07,59.84,88,5266,1.0,0.0,0.0,0.6818,0.6818,0.3182,60,7,28,0,2,0.9205,8,82,0.037244,0.04021,5.12,attack
12.79,766.52,59.94,64,3836,1.0,0.0,0.0,0.75,0.75,0.25,48,2,16,0,2,0.9688,3,63,0.033703,0.054406,5.0,attack
11.98,716.2,59.8,61,3648,1.0,0.0,0.0,0.918,0.918,0.082,56,6,5,0,2,0.9016,7,56,0.114081,0.088291,5.09,attack
12.57,747.98,59.49,63,3748,1.0,0.0,0.0,0.7619,0.7619,0.2381,48,16,15,0,2,0.746,17,48,0.057174,0.049418,5.01,attack
17.89,1069.74,59.8,90,5382,1.0,0.0,0.0,0.7889,0.7889,0.2111,71,9,19,0,2,0.9,10,82,0.087519,0.082777,5.03,attack
19.38,1158.51,59.77,97,5798,1.0,0.0,0.0,0.7216,0.7216,0.2784,70,11,27,0,2,0.8866,12,87,0.05967,0.050247,5.0,attack
30.42,1819.19,59.8,153,9150,1.0,0.0,0.0,0.7516,0.7516,0.2484,115,15,38,0,2,0.902,16,139,0.049361,0.06574,5.03,attack
0.08,4.6,60.0,1,60,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.0,0.0,13.03,attack
41.73,2515.52,60.28,215,12960,0.0,0.9721,0.0279,0.0,0.0,0.0,0,0,0,0,2,0.9721,2,210,0.010388,0.020362,5.15,attack
41.26,2475.74,60.0,208,12480,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,208,0.030168,0.074075,5.04,attack
42.82,2569.16,60.0,215,12900,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.024813,0.04,5.02,attack
76.81,4608.42,60.0,385,23100,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,383,0.019302,0.034079,5.01,attack
96.95,5817.14,60.0,486,29160,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,486,0.009864,0.030653,5.01,attack
57.89,3473.2,60.0,291,17460,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,291,0.014156,0.044797,5.03,attack
40.72,2443.46,60.0,205,12300,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,205,0.028443,0.043539,5.03,attack
45.74,2744.64,60.0,230,13800,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,230,0.022196,0.043469,5.03,attack
97.77,5868.28,60.02,507,30430,0.0,0.998,0.002,0.0,0.0,0.0,0,0,0,0,2,0.998,2,500,0.014035,0.027513,5.19,attack
86.7,5201.84,60.0,436,26160,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,434,0.012686,0.046141,5.03,attack
42.79,2567.15,60.0,215,12900,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.021986,0.085101,5.03,attack
43.85,2631.17,60.0,220,13200,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,220,0.026002,0.047477,5.02,attack
42.98,2578.5,60.0,215,12900,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.024393,0.046786,5.0,attack
38.4,2303.75,60.0,197,11820,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,197,0.031419,0.04845,5.13,attack
40.8,2447.95,60.0,204,12240,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,203,0.026058,0.037533,5.0,attack
107.96,6479.36,60.02,541,32470,0.0,0.9982,0.0018,0.0,0.0,0.0,0,0,0,0,2,0.9982,2,539,0.014227,0.037814,5.01,attack
60.0,3600.24,60.0,303,18180,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,303,0.013422,0.052911,5.05,attack
43.04,2582.5,60.0,216,12960,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.027501,0.053253,5.02,attack
38.18,2290.9,60.0,191,11460,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,191,0.027599,0.051161,5.0,attack
43.09,2585.27,60.0,218,13080,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,218,0.025869,0.037719,5.06,attack
52.4,3143.88,60.0,264,15840,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,263,0.02147,0.039564,5.04,attack
95.3,5718.24,60.0,479,28740,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,477,0.013402,0.032005,5.03,attack
106.56,6393.47,60.0,533,31980,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,532,0.011266,0.035296,5.0,attack
99.44,5966.49,60.0,498,29880,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,498,0.009585,0.04845,5.01,attack
77.42,4645.35,60.0,388,23280,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,388,0.013649,0.060487,5.01,attack
50.31,3018.87,60.0,252,15120,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,252,0.027372,0.063032,5.01,attack
50.16,3009.71,60.0,251,15060,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,251,0.02374,0.047103,5.0,attack
50.4,3023.87,60.0,254,15240,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,254,0.019726,0.034572,5.04,attack
57.13,3427.77,60.0,286,17160,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,286,0.015672,0.033783,5.01,attack
0.11,7.91,74.0,1,74,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,1,0.0,0.0,9.36,attack
424.1,384688.18,907.06,2125,1927510,1.0,0.0,0.0,0.2165,1.0,0.0,460,1868,0,255,2,0.5176,487,513,0.002286,0.011191,5.01,attack
330.15,309283.94,936.81,1653,1548543,1.0,0.0,0.0,0.2196,1.0,0.0,363,1426,0,261,2,0.5257,413,451,0.005337,0.095044,5.01,attack
419.22,338695.25,807.92,2110,1704717,1.0,0.0,0.0,0.2517,1.0,0.0,531,1783,0,324,2,0.5346,524,574,0.003765,0.065111,5.03,attack
